id,description,category
367,UPI-WONDERLA HOLIDAYS-wonderla@sbi-Theme Park Entry,Entertainment
368,POS SMAASH ENTERTAINMENT GAMING ARENA,Entertainment
369,UPI/DR/998811223344/playo@icici/Badminton Court Booking,Entertainment
370,POS TIMEZONE ARCADIA PHOENIX MARKETCITY,Entertainment
371,UPI-DISTRICT ENTERTAINMENT-district@axis-Comedy Club Pass,Entertainment
372,POS ADLABS IMAGICA THEME PARK KHOPOLI,Entertainment
373,UPI/DR/776655443322/paytmevents@paytm/Standup Comedy Show,Entertainment
374,POS CARNIVAL CINEMAS WADALA MUMBAI,Entertainment
375,UPI-MIRAJ CINEMAS-miraj@hdfcbank-Movie Recliner Seats,Entertainment
376,POS BOUNCE INC TRAMPOLINE PARK BANGALORE,Entertainment
377,UPI/DR/554433221188/zomatoevents@icici/Zomaland Food Carnival,Entertainment
378,POS MYSTERY ROOMS ESCAPE GAME INDIRANAGAR,Entertainment
379,UPI-SNOW WORLD-snowworld@sbi-Indoor Snow Theme Park,Entertainment
380,POS MOVIEMAX THEATRE SION MUMBAI,Entertainment
381,UPI/DR/332211889900/districtlive@kotak/Live Concert Tickets,Entertainment
382,POS AMOEBA BOWLING ALLEY CHURCH STREET,Entertainment
383,UPI-GOKARTING-torq03@axis-Torq03 E-Karting Track,Entertainment
384,POS SHAKTI WATER PARK SURAT,Entertainment
385,UPI/DR/110099887766/fitso@icici/Swimming Pool Pass,Entertainment
386,POS ESSEN ENTERTAINMENT GAMING CAFE,Entertainment
387,UPI-RAMOJI FILM CITY-ramoji@hdfcbank-Studio Tour Pass,Entertainment
388,POS WAVE CINEMAS NOIDA SECTOR 18,Entertainment
389,UPI/DR/998877112233/eventshigh@paytm/Pottery Workshop Entry,Entertainment
390,POS LASER TAG ARENA KORAMANGALA,Entertainment
391,UPI-WATER KINGDOM-waterkingdom@icici-Water Rides Pass,Entertainment
392,POS RAJ MANDIR CINEMA JAIPUR,Entertainment
393,UPI/DR/887766223344/bmsstream@hdfcbank/Online Movie Rental,Entertainment
394,POS SKY JUMPER TRAMPOLINE PARK GURGAON,Entertainment
395,UPI-LOCK N ESCAPE-locknescape@axis-Board Game Cafe Pass,Entertainment
396,POS MUKTA A2 CINEMAS AHMEDABAD,Entertainment
397,UPI/DR/776655334455/paintball@kotak/Paintball Warfare Arena,Entertainment
398,POS ESSELWORLD LEISURE MUMBAI,Entertainment
399,UPI-CLUBCRAWL-clubcrawl@icici-Weekend Nightlife Pass,Entertainment
400,POS PRASADS IMAX HYDERABAD,Entertainment
401,UPI/DR/665544445566/turfpark@sbi/Futsal Turf Ground Rental,Entertainment
402,POS FUN CITY MALL OF INDIA NOIDA,Entertainment
403,UPI-SULA VINEYARDS-sula@hdfcbank-Wine Tasting Tour Pass,Entertainment
404,POS ASIAN CINEMAS SECUNDERABAD,Entertainment
405,UPI/DR/554433556677/comedystation@axis/Canvas Laugh Club,Entertainment
406,POS BLUO BOWLING AMBIENCE MALL GURUGRAM,Entertainment
407,UPI-HERITAGE TRANSPORT MUSEUM-museum@icici-Entry Ticket,Entertainment
408,POS SRS CINEMAS FARIDABAD,Entertainment
409,UPI/DR/443322667788/playarena@kotak/Go Karting and Shooting,Entertainment
410,POS DELTA 105 MILITARY THEME PARK,Entertainment
411,UPI-MAGICSHOW-magic@paytm-Illusionist Live Show Pass,Entertainment
412,POS STERLING CINEMA CST MUMBAI,Entertainment
413,UPI/DR/332211778899/theaterguild@sbi/Prithvi Theatre Play Ticket,Entertainment
414,POS ZERO LATENCY VR ARENA PHOENIX MALL,Entertainment
415,UPI-AMUSEMENT RIDES-amusement@hdfc-Fair Carnival Tokens,Entertainment
416,POS SATYAM CINEPLEXES PATEL NAGAR,Entertainment
417,UPI/DR/221100889900/sportscomplex@icici/Tennis Court Hourly,Entertainment
418,POS ADLABS CINEMAS ANDHERI,Entertainment
419,UPI-MUSIC FESTIVAL ENTRY-sunburn@axis-Sunburn Pass,Entertainment
420,POS INOX MEGAPLEX INORBIT MALL MALAD,Entertainment
421,UPI/DR/778899001122/netflix@citibank/Monthly Sub,Subscriptions
422,ECOM/NETFLIX.COM/MONTHLY SUBSCRIPTION/MUMBAI,Subscriptions
423,UPI/DR/334455667788/spotify@icici/Spotify Premium,Subscriptions
424,UPI/DR/998877665544/cultfit@paytm/Cult Pass Monthly,Subscriptions
425,ECOM/PRIME VIDEO/AMAZON DIGITAL SUBSCRIPTION,Subscriptions
426,UPI-HOTSTAR-disneyhotstar@hdfc-Annual VIP Plan,Subscriptions
427,ECOM/APPLE.COM/BILL/ITUNES ICLOUD STORAGE,Subscriptions
428,ECOM/GOOGLE *STORAGE GSUITE CLOUD SUB,Subscriptions
429,UPI-YOUTUBE PREMIUM-googleplay@citibank-Monthly Family Plan,Subscriptions
430,ECOM/CHATGPT SUBSCRIPTION OPENAI SAN FRANCISCO,Subscriptions
431,UPI-THE HINDU-thehindu@axis-Digital News Subscription,Subscriptions
432,ECOM/GITHUB INC/DEVELOPER COPILOT PRO MONTHLY,Subscriptions
433,ECOM/LINKEDIN PREMIUM CAREER SUBSCRIPTION,Subscriptions
434,UPI/DR/556677881122/sonyliv@icici/Sony Liv Annual Premium,Subscriptions
435,ECOM/NEW YORK TIMES DIGITAL NEWS SUBSCRIPTION,Subscriptions
436,UPI-ZEE5-zee5@hdfcbank-All Access Annual Pack,Subscriptions
437,ECOM/CANVA PTY LTD/PRO GRAPHIC DESIGN ANNUAL,Subscriptions
438,UPI/DR/445566778899/apple.music@citibank/Individual Music Sub,Subscriptions
439,ECOM/MICROSOFT 365 FAMILY ANNUAL RENEWAL,Subscriptions
440,UPI-INDIAN EXPRESS-express@axisbank-E-Paper Membership,Subscriptions
441,ECOM/NOTION LABS INC/PERSONAL PLUS WORKSPACE,Subscriptions
442,UPI/DR/334455669988/primevideo@icici/Amazon Prime Membership,Subscriptions
443,ECOM/MEDIUM.COM/MONTHLY MEMBERSHIP SAN FRANCISCO,Subscriptions
444,UPI-FITTR-fittr@kotak-Transformation Coaching Subscription,Subscriptions
445,ECOM/DROPBOX INT/DROPBOX PLUS 2TB STORAGE,Subscriptions
446,UPI/DR/223344558877/audible@citibank/Audible Audiobook Credit,Subscriptions
447,ECOM/MIDJOURNEY INC/AI IMAGERY MONTHLY PLAN,Subscriptions
448,UPI-LIVE LAW-livelaw@sbi-Legal Portal Annual Access,Subscriptions
449,ECOM/DUOLINGO INC/SUPER DUOLINGO LANGUAGE ANNUAL,Subscriptions
450,UPI/DR/112233447766/jiocinema@icici/JioCinema Premium Monthly,Subscriptions
451,ECOM/SUBSTACK NEWSLETTER PAID MONTHLY SUB,Subscriptions
452,UPI-BUSINESS STANDARD-bs@hdfcbank-Digital Premium Read,Subscriptions
453,ECOM/GRAMMARLY INC/PREMIUM WRITING ASSISTANT,Subscriptions
454,UPI/DR/990011226655/hindustantimes@axis/HT Digital E-Paper,Subscriptions
455,ECOM/OVERCAST PODCASTS PREMIUM ANNUAL PASS,Subscriptions
456,UPI-TATAPLAY BINGE-tataplay@icici-OTT Aggregator Monthly,Subscriptions
457,ECOM/HEROKU DYNOS/MONTHLY HOSTING SERVER CHARGE,Subscriptions
458,UPI/DR/889900115544/theken@kotak/The Ken Business Journalism,Subscriptions
459,ECOM/JETBRAINS S.R.O./ALL PRODUCTS PACK IDE,Subscriptions
460,UPI-BLOOMBERG QUINT-bq@hdfcbank-Financial News Pass,Subscriptions
461,ECOM/1PASSWORD AGILEBITS/FAMILY VAULT YEARLY,Subscriptions
462,UPI/DR/778899004433/mubi@citibank/MUBI Cinema Streaming Sub,Subscriptions
463,ECOM/ADOBE SYSTEMS CREATIVE CLOUD ALL APPS,Subscriptions
464,UPI-PLAYSTATION NETWORK-sony@icici-PS Plus Essential,Subscriptions
465,ECOM/COURSERA INC/COURSERA PLUS ANNUAL ACCESS,Subscriptions
466,UPI/DR/667788993322/storytel@axis/Storytel Audiobooks Monthly,Subscriptions
467,ECOM/FIGMA INC/PROFESSIONAL DESIGN SEAT MONTHLY,Subscriptions
468,UPI-DISCOVERY PLUS-discovery@hdfcbank-Infotainment OTT,Subscriptions
469,ECOM/ZOOM VIDEO COMM/PRO HOST VIDEO CONFERENCING,Subscriptions
470,UPI/DR/556677882211/altbalaji@kotak/ALTBalaji Streaming Pack,Subscriptions
471,ECOM/CALM.COM/MEDITATION SLEEP ANNUAL APP PASS,Subscriptions
472,UPI-HEADSPACE-headspace@citibank-Mindfulness App Plan,Subscriptions
473,ECOM/X CORP/X PREMIUM BLUE TICK MONTHLY SUB,Subscriptions
474,UPI/DR/445566771100/epw@sbi/Economic & Political Weekly Sub,Subscriptions
475,ECOM/SETAPP LIMITED/MAC APPS SUITE SUBSCRIPTION,Subscriptions
476,UPI-SUN NXT-sunnxt@icici-South OTT Platform Annual,Subscriptions
477,ECOM/PROTON AG/PROTON UNLIMITED SECURE MAIL & VPN,Subscriptions
478,UPI/DR/334455660099/timesprime@hdfcbank-Times Prime Lifestyle,Subscriptions
479,ECOM/REPLIT CORE/DEVELOPER WORKSPACE MONTHLY,Subscriptions
480,UPI-LIONSGATE PLAY-lionsgate@axis-Hollywood Movies OTT,Subscriptions
481,UPI/DR/890123456789/apollopharmacy@hdfcbank/Apollo Medicines,Medical
482,UPI/DR/102938475610/pharmeasy@icici/Online Pharmacy Medicine,Medical
483,UPI/DR/203948576102/1mg@hdfcbank/Tata 1mg Prescription,Medical
484,POS MANIPAL HOSPITAL OUTPATIENT PHARMACY,Medical
485,POS MEDPLUS PHARMACY HSR LAYOUT,Medical
486,UPI-PRACTO-practo@hdfcbank-Online Doctor Consultation,Medical
487,POS DR LAL PATHLABS BLOOD DIAGNOSTIC TEST,Medical
488,UPI/DR/332211445566/metropolis@icici/Pathology Diagnostics Lab,Medical
489,POS FORTIS HOSPITAL EMERGENCY OPD CONSULTATION,Medical
490,UPI-MAX HEALTHCARE-maxhosp@axis-Dental Clinic Treatment,Medical
491,POS CARETURN DENTAL CLINIC BANGALORE,Medical
492,POS HEALTHKART NUTRITION SUPPLEMENTS,Medical
493,UPI/DR/778899114455/truemeds@kotak/Generic Medicines Delivery,Medical
494,POS APOLLO HOSPITALS ENTERPRISE HYDERABAD,Medical
495,UPI-THYROCARE-thyrocare@icici-Aarogyam Full Body Checkup,Medical
496,POS NARAYANA HRUDAYALAYA BOMMASANDRA,Medical
497,UPI/DR/665544118899/netmeds@axis/Netmeds Online Pharmacy,Medical
498,POS SRL DIAGNOSTICS LABORATORY GURGAON,Medical
499,UPI-ASTER CMI HOSPITAL-aster@hdfcbank-Doctor Consultation,Medical
500,POS CLOUD NINE HOSPITAL MATERNITY CLINIC,Medical
501,UPI/DR/554433990011/medibuddy@icici/Corporate Health Checkup,Medical
502,POS SUBURBAN DIAGNOSTICS ANDHERI WEST,Medical
503,UPI-APOLLO 247-apollo247@hdfc-Pediatrician Online Consult,Medical
504,POS COLUMBIA ASIA HOSPITAL YESHWANTHPUR,Medical
505,UPI/DR/443322887766/clovedental@axis/Clove Dental Root Canal,Medical
506,POS KIMS HOSPITALS SECUNDERABAD,Medical
507,UPI-MEDLIFE PHARMACY-medlife@kotak-Antibiotics and Syrups,Medical
508,POS DENTIST CLINIC DR KAPOOR NOIDA,Medical
509,UPI/DR/332211776655/guardianpharmacy@sbi/Vitamins & Bandages,Medical
510,POS LAKSHMI EYE HOSPITAL JAYANAGAR,Medical
511,UPI-EYE CARE CLINIC-eyecare@icici-Ophthalmology Vision Test,Medical
512,POS WELLNESS FOREVER CHEMIST BANDRA,Medical
513,UPI/DR/221100665544/portea@axis/Portea Home Nursing Care,Medical
514,POS SPARSH HOSPITAL INFANTRY ROAD BANGALORE,Medical
515,UPI-ANAND DIAGNOSTIC LAB-anandlab@hdfcbank-Lipid Profile,Medical
516,POS RUBY HALL CLINIC SANGAMWADI PUNE,Medical
517,UPI/DR/110099554433/physiotherapy@kotak/Sports Rehab Session,Medical
518,POS AMRITA INSTITUTE OF MEDICAL SCIENCES,Medical
519,UPI-MEDIKART-medikart@icici-Surgical Dressing and Gauze,Medical
520,POS SIR GANGA RAM HOSPITAL NEW DELHI,Medical
521,UPI/DR/998877443322/kidneycare@sbi/Nephrology OPD Consult,Medical
522,POS TATA MEMORIAL HOSPITAL PAREL MUMBAI,Medical
523,UPI-DERMATOLOGIST CLINIC-skinsolutions@axis-Acne Treatment,Medical
524,POS SANKARA NETHRALAYA CHENNAI,Medical
525,UPI/DR/887766332211/hemaspath@hdfcbank/Hemoglobin Blood Test,Medical
526,POS KAUVERY HOSPITAL ALWARPET CHENNAI,Medical
527,UPI-BABY CHAKRA-babychakra@icici-Infant Wellness Kit,Medical
528,POS NOBLE PHARMACY HADAPSAR PUNE,Medical
529,UPI/DR/776655221100/ayurvedaclinic@sbi/Kottakkal Arya Vaidya,Medical
530,POS DR AGARWALS EYE HOSPITAL INDIRANAGAR,Medical
531,UPI-VACCINATION CENTER-vaccine@kotak-Flu Vaccine Shot,Medical
532,POS HOMOEOPATHIC PHARMACY DR BATRAS,Medical
533,UPI/DR/665544110099/pediatricclinic@axis/Child Specialist Fee,Medical
534,POS CARE HOSPITALS BANJARA HILLS HYDERABAD,Medical
535,UPI-DENTAL SURGERY-dentalsurg@hdfcbank-Wisdom Tooth Extraction,Medical
536,POS FRANK ROSS PHARMACY PARK STREET KOLKATA,Medical
537,UPI/DR/554433009988/spineclinic@icici/Orthopedic X-Ray Charge,Medical
538,POS LILAVATI HOSPITAL BANDRA MUMBAI,Medical
539,UPI-CARDIO CLINIC-cardioclinic@sbi-ECG Heart Investigation,Medical
540,POS APOLLO CLINIC BELLANDUR BENGALURU,Medical
541,ACH/CREDIT/TCS LIMITED/SALARY CREDIT JUNE 2025,Salary Credit
542,NEFT/CMS/INFOSYS LTD/SALARY FOR MAY 2025/CMS0019283,Salary Credit
543,SALARY CREDIT - ACME CORP,Salary Credit
544,ACH/CREDIT/WIPRO LIMITED/MONTHLY SALARY/SAL102938,Salary Credit
545,NEFT-HCL TECHNOLOGIES LTD-SALARY CREDIT FOR APRIL,Salary Credit
546,CMS/SALARY/COGNIZANT TECH SOLUTIONS/SAL202504,Salary Credit
547,SALARY CR BY ACCENTURE SERVICES PVT LTD,Salary Credit
548,ACH/CREDIT/DELOITTE CONSULTING/SALARY REIMBURSEMENT,Salary Credit
549,SALARY CREDIT GOOGLE INDIA PVT LTD MAY 2025,Salary Credit
550,NEFT-AMAZON DEVELOPMENT CENTRE-SALARY JULY 2025,Salary Credit
551,ACH/CR/MICROSOFT INDIA R&D/PAYROLL CREDITED,Salary Credit
552,SALARY CR - TECH MAHINDRA LTD JUNE 2025,Salary Credit
553,NEFT/CMS/IBM INDIA PVT LTD/MONTHLY PAYROLL/IBM998,Salary Credit
554,ACH/CREDIT/CAPGEMINI TECHNOLOGY/SALARY APRIL 2025,Salary Credit
555,SALARY CREDIT GOLDMAN SACHS SERVICES BENGALURU,Salary Credit
556,NEFT-LARSEN & TOUBRO INFOTECH-SALARY MAY 2025,Salary Credit
557,ACH/CR/ORACLE FINANCIAL SERVICES/SALARY PAYMENT,Salary Credit
558,SALARY CREDIT CISCO SYSTEMS INDIA PRIVATE LIMITED,Salary Credit
559,NEFT/CMS/FLIPKART INTERNET/MONTHLY SALARY REVENUE,Salary Credit
560,ACH/CREDIT/SWIGGY BUNDL TECHNOLOGIES/PAYROLL CR,Salary Credit
561,SALARY CR - ZOMATO HYPERPURE PAYROLL DISBURSEMENT,Salary Credit
562,NEFT-PAYTM ONE97 COMMUNICATIONS-SALARY JUNE 2025,Salary Credit
563,ACH/CR/SAMSUNG R&D INSTITUTE/SALARY FOR APRIL,Salary Credit
564,SALARY CREDIT JP MORGAN CHASE BANK NA INDIA,Salary Credit
565,NEFT/CMS/MORGAN STANLEY ADVANTAGE/SALARY MAY 2025,Salary Credit
566,ACH/CREDIT/ADOBE SYSTEMS INDIA/SALARY PAYMENT,Salary Credit
567,SALARY CR BY INTEL TECHNOLOGY INDIA PVT LTD,Salary Credit
568,NEFT-QUALCOMM INDIA PRIVATE LIMITED-SALARY CR,Salary Credit
569,ACH/CR/TEXAS INSTRUMENTS INDIA/MONTHLY PAYROLL,Salary Credit
570,SALARY CREDIT UBER INDIA R&D CENTER MAY 2025,Salary Credit
571,NEFT/CMS/WALMART GLOBAL TECH/SALARY JUNE 2025,Salary Credit
572,ACH/CREDIT/INTUIT INDIA PRODUCT DEV/SALARY CR,Salary Credit
573,SALARY CR - PAYPAL INDIA PRIVATE LIMITED APRIL,Salary Credit
574,NEFT-TARGET CORPORATION INDIA-MONTHLY SALARY,Salary Credit
575,ACH/CR/SAP LABS INDIA PRIVATE LIMITED/SALARY,Salary Credit
576,SALARY CREDIT VMWARE SOFTWARE INDIA JUNE 2025,Salary Credit
577,NEFT/CMS/NVIDIA GRAPHICS INDIA/PAYROLL CREDITED,Salary Credit
578,ACH/CREDIT/SALESFORCE.COM INDIA/SALARY FOR MAY,Salary Credit
579,SALARY CR BY AMD INDIA PVT LTD MAY 2025,Salary Credit
580,NEFT-SERVICENOW SOFTWARE DEV-SALARY CREDIT,Salary Credit
581,ACH/CR/ATLASSIAN INDIA LLP/MONTHLY SALARY DEPOSIT,Salary Credit
582,SALARY CREDIT DELL INTERNATIONAL SERVICES APRIL,Salary Credit
583,NEFT/CMS/HP ENTERPRISE INDIA/SALARY FOR JUNE,Salary Credit
584,ACH/CREDIT/EXPEDIA ONLINE TRAVEL/SALARY PAYMENT,Salary Credit
585,SALARY CR - BOOKING.COM INDIA SUPPORT SERVICES,Salary Credit
586,NEFT-AIRBNB INDIA TECH SERVICES-SALARY CR MAY,Salary Credit
587,ACH/CR/TWITTER INDIA / X CORP/PAYROLL CREDITED,Salary Credit
588,SALARY CREDIT LINKEDIN TECHNOLOGY INDIA PVT LTD,Salary Credit
589,NEFT/CMS/STRIPE INDIA TECH/MONTHLY PAYROLL JUNE,Salary Credit
590,ACH/CREDIT/RAZORPAY SOFTWARE/SALARY FOR APRIL,Salary Credit
591,SALARY CR BY CRED DREAMPLUG TECHNOLOGIES,Salary Credit
592,NEFT-ZERODHA BROKING LTD-MONTHLY SALARY CREDIT,Salary Credit
593,ACH/CR/GROWW NEXTBILLION TECH/SALARY MAY 2025,Salary Credit
594,SALARY CREDIT PHONEPE PRIVATE LIMITED JUNE 2025,Salary Credit
595,NEFT/CMS/MEESHO FASHNEAR TECH/SALARY APRIL 2025,Salary Credit
596,ACH/CREDIT/OLA ANI TECHNOLOGIES/SALARY DISBURSED,Salary Credit
597,SALARY CR - URBAN COMPANY URBANCLAP MAY 2025,Salary Credit
598,NEFT-ZEPTO KIRANAKART TECH-SALARY CREDIT JUNE,Salary Credit
599,ACH/CR/INMOBI TECHNOLOGY SERVICES/MONTHLY SALARY,Salary Credit
600,SALARY CREDIT FRESHWORKS TECHNOLOGIES APRIL 2025,Salary Credit
601,ANNUAL SMS ALERT CHARGES Q1,Miscellaneous
602,DEBIT CARD ANNUAL MAINTENANCE CHARGES,Miscellaneous
603,CONSOLIDATED CHARGES FOR NON MAINTENANCE OF MIN BAL,Miscellaneous
604,GST ON DEBIT CARD AMC CHARGES,Miscellaneous
605,LOCKER RENT CHARGES ANNUAL,Miscellaneous
606,CHEQUE BOOK ISSUE CHARGES,Miscellaneous
607,ATM CASH WDL HDFC BANK ATM INDIRANAGAR,Miscellaneous
608,NFS*CASH WDL*SBI ATM KORAMANGALA BANGALORE,Miscellaneous
609,DONATION TO PM CARES FUND UPI,Miscellaneous
610,UPI/DR/1234981234/cryindia@icici/Donation Child Rights,Miscellaneous
611,LOCAL HARDWARE STORE REPAIR SCREWS,Miscellaneous
612,LAUNDRY SERVICES DHOBI GHAT DRY CLEANING,Miscellaneous
613,PASSPORT SEVA KENDRA TATKAAL APPLICATION FEE,Miscellaneous
614,STAMP DUTY AND REGISTRATION SUB REGISTRAR,Miscellaneous
615,POS TAILOR SHOP STITCHING SUIT ALTERATION,Miscellaneous
616,UPI-PET CLINIC-petcare@hdfcbank-Dog Vaccination and Checkup,Miscellaneous
617,OUTWARD CHEQUE RETURN CHARGES INSUFFICIENT FUNDS,Miscellaneous
618,FEE FOR STOP PAYMENT OF CHEQUE LEAVES,Miscellaneous
619,ATM CASH WITHDRAWAL ICICI BANK MG ROAD,Miscellaneous
620,DONATION TO AKSHAYA PATRA FOUNDATION MIDDAY MEAL,Miscellaneous
621,UPI/DR/8899776655/unicefindia@sbi/Monthly Charity Support,Miscellaneous
622,PHOTOCOPY AND XEROX SHOP STATIONERY BINDING,Miscellaneous
623,DRY CLEANING AND STEAM IRON PRESS SERVICES,Miscellaneous
624,KEY MAKER DUPLICATE KEYS HOME LOCKSMITH,Miscellaneous
625,MUNICIPAL PROPERTY TAX PAYMENT ONLINE E-SEVA,Miscellaneous
626,RTO DRIVING LICENSE RENEWAL APPLICATION FEE,Miscellaneous
627,TRAFFIC POLICE E-CHALLAN OVERSPEEDING FINE,Miscellaneous
628,COURT STAMP PAPER ADVOCATE NOTARY CHARGES,Miscellaneous
629,UPI-TEMPLE TRUST-tirupati@sbi-Hundi Darshan Donation,Miscellaneous
630,GURUDWARA PRABHANDAK COMMITTEE SEWA DONATION,Miscellaneous
631,CARPENTRY SERVICES WOOD REPAIR LABOUR CHARGES,Miscellaneous
632,PLUMBER PIPE LEAKAGE REPAIR LABOUR FEE,Miscellaneous
633,ELECTRICIAN APPLIANCE WIRING INSPECTION CHARGE,Miscellaneous
634,URBAN COMPANY HOME DEEP CLEANING SERVICES,Miscellaneous
635,PEST CONTROL TREATMENT COCKROACH & TERMITE,Miscellaneous
636,SHOE COBBLER SOLE REPAIR AND POLISH,Miscellaneous
637,WATCH BATTERY REPLACEMENT AND STRAP FIXING,Miscellaneous
638,CAR WASH AND DETAILING PRESSURE CLEANING,Miscellaneous
639,BIKE PUNCTURE REPAIR AND TYRE AIR PRESSURE,Miscellaneous
640,PACKERS AND MOVERS HOME SHIFTING CARTON BOXES,Miscellaneous
641,WASTE COLLECTION AND GARBAGE CHARGES RESIDENTS,Miscellaneous
642,WATER TANKER 5000L RESIDENTIAL POTABLE WATER,Miscellaneous
643,COURIER SERVICES BLUE DART PARCEL SHIPMENT,Miscellaneous
644,INDIA POST SPEED POST PARCEL TRACKING CHARGE,Miscellaneous
645,FRAMING SHOP PHOTO FRAME GLASS MOUNTING,Miscellaneous
646,GARDENING SERVICES PLANT NURSERY SOIL MANURE,Miscellaneous
647,NEWSPAPER HAWKER MONTHLY BILL SUBSCRIPTION,Miscellaneous
648,SOCIETY CLUBHOUSE AMENITY BOOKING SECURITY DEPOSIT,Miscellaneous
649,CHQ STOP PAYMENT INSTRUCTION BANK FEE,Miscellaneous
650,ANNUAL DEBIT CARD REPLACEMENT SURCHARGE,Miscellaneous
651,CONSOLIDATED CHARGES FOR ECS MANDATE REJECTION,Miscellaneous
652,INTEREST TAX DEBIT AS PER SECTION 194A,Miscellaneous
653,TDS DEBIT ON FIXED DEPOSIT INTEREST CREDIT,Miscellaneous
654,FOREIGN INWARD REMITTANCE CERTIFICATE FIRC FEE,Miscellaneous
655,ATM BALANCE INQUIRY CHARGE NON-HOME BANK ATM,Miscellaneous
656,CHEQUE LEAF CHARGES BEYOND FREE THRESHOLD,Miscellaneous
657,POS POST OFFICE COUNTER SPEED POST STAMPS,Miscellaneous
658,DONATION TO HELPAGE INDIA ELDERLY WELFARE,Miscellaneous
659,CARPENTER WARDROBE HINGES REPAIR CHARGES,Miscellaneous
660,POS LOCAL FLORIST FLOWER BOUQUET GIFTING,Miscellaneous
661,TRANSFER TO OWN ACCOUNT 501009876543 HDFC,Self-Transfer
662,TRANSFER FROM SAVINGS A/C TO ZERO BALANCE 9876,Self-Transfer
663,UPI/DR/412345678901/myself@hdfcbank/Self transfer to SBI,Self-Transfer
664,UPI/CR/412345678901/myself@sbi/Self transfer from HDFC,Self-Transfer
665,IMPS-OWN ACC TRF TO ICICI BANK-491029384756,Self-Transfer
666,FUNDS TRF TO MY KOTAK SAVINGS 112233,Self-Transfer
667,TRF TO OWN FD ACCOUNT 99881122,Self-Transfer
668,SWEEP TRF TO FIXED DEPOSIT MOD 889900,Self-Transfer
669,AUTOSWEEP REVERSE TRF FROM FD TO SB,Self-Transfer
670,FUNDS TRANSFER TO SELF ICICI CURRENT AC,Self-Transfer
671,NEFT-SELF TRANSFER TO AXIS BANK A/C 9120100,Self-Transfer
672,INTERNAL TRF BETWEEN OWN ACCOUNTS,Self-Transfer
673,UPI/DR/998877112233/akshay.personal@okaxis/Self Move,Self-Transfer
674,UPI/CR/998877112233/akshay.personal@okicici/From Axis,Self-Transfer
675,TRANSFER TO SELF SBI SALARY ACCOUNT 309817,Self-Transfer
676,TRANSFER FROM ICICI SALARY TO HDFC SAVINGS,Self-Transfer
677,IMPS/SELF TRF/HDFC TO KOTAK MAHINDRA BANK,Self-Transfer
678,NEFT-TRF TO OWN ACCOUNT IN PUNJAB NATIONAL BANK,Self-Transfer
679,RTGS-FUNDS TRF TO OWN CANARA BANK ACCOUNT,Self-Transfer
680,UPI/DR/776655332211/myownupi@sbi/Self Fund Transfer,Self-Transfer
681,TRANSFER TO LINKED OVERDRAFT ACCOUNT 40912,Self-Transfer
682,FUNDS TRF FROM LINKED OD A/C TO SAVINGS,Self-Transfer
683,SWEEP IN FROM RECURRING DEPOSIT RD9912,Self-Transfer
684,SWEEP OUT TO MULTI OPTION DEPOSIT SCHEME,Self-Transfer
685,TRANSFER TO OWN PPF ACCOUNT 1092837465,Self-Transfer
686,TRANSFER TO OWN SUKANYA SAMRIDDHI ACCOUNT,Self-Transfer
687,NEFT/SELF/TRANSFER TO MY INDUSIND SAVINGS,Self-Transfer
688,IMPS-SELF TRANSFER FROM HDFC TO ZERO BALANCE AC,Self-Transfer
689,UPI/DR/554433221199/self.transfer@paytm/To Kotak,Self-Transfer
690,UPI/CR/554433221199/self.transfer@okhdfc/From Kotak,Self-Transfer
691,TRANSFER TO SELF IDFC FIRST SAVINGS 100982,Self-Transfer
692,TRANSFER FROM IDFC FIRST SAVINGS TO HDFC,Self-Transfer
693,NEFT-OWN ACCOUNT FUNDING BANK OF BARODA,Self-Transfer
694,IMPS/P2A/SELF ACCOUNT TRANSFER/UNION BANK 5521,Self-Transfer
695,TRF TO MY RECURRING DEPOSIT A/C 445566,Self-Transfer
696,TRANSFER FROM FIXED DEPOSIT PREMATURE CLOSURE TO SB,Self-Transfer
697,UPI/DR/332211445577/myself@axisbank/Transfer to ICICI,Self-Transfer
698,UPI/CR/332211445577/myself@icici/Received from Axis,Self-Transfer
699,FUNDS TRF TO OWN RETAIL DEMAT TRADING ACCOUNT,Self-Transfer
700,FUNDS TRANSFER FROM ZERODHA TRADING BACK TO BANK,Self-Transfer
701,TRANSFER TO MY GROWW TRADING BALANCE,Self-Transfer
702,WITHDRAWAL FROM UPSTOX BALANCE TO OWN SAVINGS,Self-Transfer
703,NEFT-FUNDS TRF TO MY YES BANK SAVINGS ACCOUNT,Self-Transfer
704,IMPS-SELF TRF TO FEDERAL BANK 12093847,Self-Transfer
705,UPI/DR/112233445599/ownfunds@sbi/Moving to HDFC,Self-Transfer
706,UPI/CR/112233445599/ownfunds@hdfcbank/From SBI Account,Self-Transfer
707,INTERNAL SWEEP TRANSFER CREDIT FROM AUTO DEPOSIT,Self-Transfer
708,INTERNAL SWEEP TRANSFER DEBIT TO FLEXI DEPOSIT,Self-Transfer
709,TRANSFER TO OWN NRE / NRO SAVINGS ACCOUNT,Self-Transfer
710,TRANSFER FROM NRO ACCOUNT TO DOMESTIC RESIDENT SB,Self-Transfer
711,NEFT-SELF TRANSFER TO STANDARD CHARTERED A/C,Self-Transfer
712,IMPS-OWN ACCOUNT TRANSFER TO HSBC SAVINGS,Self-Transfer
